CDUID,CDNAME,amount,NOC,type
3501,"Stormont, Dundas and Glengary",80,"Business, Finance & Administration",UC
3501,"Stormont, Dundas and Glengary",15,Natural and applied sciences,UC
3501,"Stormont, Dundas and Glengary",25,Health occupations,UC
3501,"Stormont, Dundas and Glengary",60,"Occupations in education, law, social",UC
3501,"Stormont, Dundas and Glengary",70,"Occupations in art, culture, recreation",UC
3501,"Stormont, Dundas and Glengary",1525,Sales and service occupations,UC
3501,"Stormont, Dundas and Glengary",235,"Trades, transport, and equipment",UC
3501,"Stormont, Dundas and Glengary",200,"Natural resources, agriculture, and related",UC
3501,"Stormont, Dundas and Glengary",55,Manufactoring and utilities,UC
3502,Prescott and Russell,125,"Business, Finance & Administration",UC
3502,Prescott and Russell,20,Natural and applied sciences,UC
3502,Prescott and Russell,40,Health occupations,UC
3502,Prescott and Russell,70,"Occupations in education, law, social",UC
3502,Prescott and Russell,60,"Occupations in art, culture, recreation",UC
3502,Prescott and Russell,1620,Sales and service occupations,UC
3502,Prescott and Russell,230,"Trades, transport, and equipment",UC
3502,Prescott and Russell,235,"Natural resources, agriculture, and related",UC
3502,Prescott and Russell,55,Manufactoring and utilities,UC
3506,Ottawa,1465,"Business, Finance & Administration",CDR
3506,Ottawa,325,Natural and applied sciences,CDR
3506,Ottawa,155,Health occupations,CDR
3506,Ottawa,870,"Occupations in education, law, social",CDR
3506,Ottawa,1685,"Occupations in art, culture, recreation",CDR
3506,Ottawa,13650,Sales and service occupations,CDR
3506,Ottawa,795,"Trades, transport, and equipment",CDR
3506,Ottawa,670,"Natural resources, agriculture, and related",CDR
3506,Ottawa,135,Manufactoring and utilities,CDR
3507,Leeds and Grenville,135,"Business, Finance & Administration",UC
3507,Leeds and Grenville,25,Natural and applied sciences,UC
3507,Leeds and Grenville,20,Health occupations,UC
3507,Leeds and Grenville,50,"Occupations in education, law, social",UC
3507,Leeds and Grenville,110,"Occupations in art, culture, recreation",UC
3507,Leeds and Grenville,1710,Sales and service occupations,UC
3507,Leeds and Grenville,245,"Trades, transport, and equipment",UC
3507,Leeds and Grenville,140,"Natural resources, agriculture, and related",UC
3507,Leeds and Grenville,40,Manufactoring and utilities,UC
3509,Lanark,90,"Business, Finance & Administration",CTY
3509,Lanark,0,Natural and applied sciences,CTY
3509,Lanark,10,Health occupations,CTY
3509,Lanark,40,"Occupations in education, law, social",CTY
3509,Lanark,100,"Occupations in art, culture, recreation",CTY
3509,Lanark,1135,Sales and service occupations,CTY
3509,Lanark,135,"Trades, transport, and equipment",CTY
3509,Lanark,70,"Natural resources, agriculture, and related",CTY
3509,Lanark,55,Manufactoring and utilities,CTY
3510,Frontenac,135,"Business, Finance & Administration",CTY
3510,Frontenac,20,Natural and applied sciences,CTY
3510,Frontenac,35,Health occupations,CTY
3510,Frontenac,145,"Occupations in education, law, social",CTY
3510,Frontenac,215,"Occupations in art, culture, recreation",CTY
3510,Frontenac,2230,Sales and service occupations,CTY
3510,Frontenac,200,"Trades, transport, and equipment",CTY
3510,Frontenac,150,"Natural resources, agriculture, and related",CTY
3510,Frontenac,40,Manufactoring and utilities,CTY
3511,Lennox and Addington,40,"Business, Finance & Administration",CTY
3511,Lennox and Addington,15,Natural and applied sciences,CTY
3511,Lennox and Addington,15,Health occupations,CTY
3511,Lennox and Addington,15,"Occupations in education, law, social",CTY
3511,Lennox and Addington,55,"Occupations in art, culture, recreation",CTY
3511,Lennox and Addington,675,Sales and service occupations,CTY
3511,Lennox and Addington,105,"Trades, transport, and equipment",CTY
3511,Lennox and Addington,95,"Natural resources, agriculture, and related",CTY
3511,Lennox and Addington,10,Manufactoring and utilities,CTY
3512,Hastings,100,"Business, Finance & Administration",CTY
3512,Hastings,15,Natural and applied sciences,CTY
3512,Hastings,35,Health occupations,CTY
3512,Hastings,50,"Occupations in education, law, social",CTY
3512,Hastings,130,"Occupations in art, culture, recreation",CTY
3512,Hastings,2230,Sales and service occupations,CTY
3512,Hastings,205,"Trades, transport, and equipment",CTY
3512,Hastings,185,"Natural resources, agriculture, and related",CTY
3512,Hastings,145,Manufactoring and utilities,CTY
3513,Price Edward,15,"Business, Finance & Administration",CDR
3513,Price Edward,0,Natural and applied sciences,CDR
3513,Price Edward,0,Health occupations,CDR
3513,Price Edward,0,"Occupations in education, law, social",CDR
3513,Price Edward,20,"Occupations in art, culture, recreation",CDR
3513,Price Edward,335,Sales and service occupations,CDR
3513,Price Edward,25,"Trades, transport, and equipment",CDR
3513,Price Edward,55,"Natural resources, agriculture, and related",CDR
3513,Price Edward,15,Manufactoring and utilities,CDR
3514,Northumberland,55,"Business, Finance & Administration",CTY
3514,Northumberland,10,Natural and applied sciences,CTY
3514,Northumberland,20,Health occupations,CTY
3514,Northumberland,55,"Occupations in education, law, social",CTY
3514,Northumberland,50,"Occupations in art, culture, recreation",CTY
3514,Northumberland,1475,Sales and service occupations,CTY
3514,Northumberland,150,"Trades, transport, and equipment",CTY
3514,Northumberland,95,"Natural resources, agriculture, and related",CTY
3514,Northumberland,70,Manufactoring and utilities,CTY
3515,Peterborough,100,"Business, Finance & Administration",CTY
3515,Peterborough,35,Natural and applied sciences,CTY
3515,Peterborough,20,Health occupations,CTY
3515,Peterborough,75,"Occupations in education, law, social",CTY
3515,Peterborough,75,"Occupations in art, culture, recreation",CTY
3515,Peterborough,2045,Sales and service occupations,CTY
3515,Peterborough,185,"Trades, transport, and equipment",CTY
